total_memory(B),available_memory(B),used_memory(B),free_memory(B),percent_used(%),active_memory(B),inactive_memory(B),buffers(B),cached(B),shared_memory(B),slab(B)
7910813696,6854692864,774299648,6697144320,13.4,113577984,630284288,18325504,421044224,3678208,187420672
7910813696,6854692864,774299648,6697144320,13.4,113577984,630284288,18325504,421044224,3678208,187420672
7910813696,6854692864,774287360,6697144320,13.4,113577984,630284288,18325504,421056512,3678208,187674624
7910813696,6854692864,774287360,6697144320,13.4,113577984,630284288,18325504,421056512,3678208,187674624
7910813696,6856830976,772169728,6699261952,13.3,113594368,630292480,18325504,421056512,3678208,187445248
7910813696,6856830976,772169728,6699261952,13.3,113594368,630292480,18325504,421056512,3678208,187445248
7910813696,6856830976,772169728,6699261952,13.3,113594368,630292480,18325504,421056512,3678208,187412480
7910813696,6856830976,772169728,6699261952,13.3,113594368,630292480,18325504,421056512,3678208,187412480
7910813696,6856830976,772169728,6699261952,13.3,113594368,630292480,18325504,421056512,3678208,187666432
7910813696,6856830976,772161536,6699261952,13.3,113594368,630292480,18333696,421056512,3678208,187944960
7910813696,6856830976,772161536,6699261952,13.3,113594368,630292480,18333696,421056512,3678208,187674624
7910813696,6856830976,772161536,6699261952,13.3,113594368,630292480,18333696,421056512,3678208,187674624
7910813696,6856830976,772161536,6699261952,13.3,113594368,630292480,18333696,421056512,3678208,187461632
7910813696,6856830976,772161536,6699261952,13.3,113594368,630292480,18333696,421056512,3678208,187461632
7910813696,6856830976,772161536,6699261952,13.3,113594368,630292480,18333696,421056512,3678208,187404288
7910813696,6856830976,772161536,6699261952,13.3,113594368,630292480,18333696,421056512,3678208,187404288
7910813696,6856830976,772157440,6699261952,13.3,113594368,630292480,18333696,421060608,3678208,187781120
7910813696,6856830976,772157440,6699261952,13.3,113594368,630292480,18333696,421060608,3678208,187527168
7910813696,6856830976,772157440,6699261952,13.3,113594368,630292480,18333696,421060608,3678208,187674624
7910813696,6856830976,772157440,6699261952,13.3,113594368,630292480,18341888,421052416,3678208,188436480
7910813696,6856830976,772149248,6699261952,13.3,113594368,630292480,18341888,421060608,3678208,187404288
7910813696,6856830976,772149248,6699261952,13.3,113594368,630292480,18341888,421060608,3678208,187404288
7910813696,6856830976,772149248,6699261952,13.3,113594368,630292480,18341888,421060608,3678208,187912192
7910813696,6856830976,772149248,6699261952,13.3,113594368,630292480,18341888,421060608,3678208,187977728
7910813696,6855020544,773976064,6697435136,13.3,113610752,630292480,18341888,421060608,3678208,187731968
7910813696,6855032832,773967872,6697443328,13.3,113610752,630296576,18341888,421060608,3678208,187805696
7910813696,6855032832,773967872,6697443328,13.3,113610752,630296576,18341888,421060608,3678208,187420672
7910813696,6855032832,773967872,6697443328,13.3,113610752,630296576,18341888,421060608,3678208,187420672
7910813696,6855032832,773967872,6697443328,13.3,113610752,630296576,18341888,421060608,3678208,187928576
7910813696,6855032832,773967872,6697443328,13.3,113610752,630296576,18350080,421052416,3678208,188149760
7910813696,6855032832,773967872,6697443328,13.3,113610752,630296576,18350080,421052416,3678208,187641856
7910813696,6855032832,773967872,6697443328,13.3,113610752,630296576,18350080,421052416,3678208,188084224
7910813696,6855032832,773959680,6697443328,13.3,113610752,630296576,18350080,421060608,3678208,187420672
7910813696,6855032832,773959680,6697443328,13.3,113610752,630296576,18350080,421060608,3678208,187420672
7910813696,6855032832,773959680,6697443328,13.3,113610752,630296576,18350080,421060608,3678208,187674624
7910813696,6855032832,773959680,6697443328,13.3,113610752,630296576,18350080,421060608,3678208,187674624
7910813696,6855032832,773959680,6697443328,13.3,113610752,630296576,18350080,421060608,3678208,187674624
7910813696,6855032832,773959680,6697443328,13.3,113610752,630296576,18350080,421060608,3678208,187879424
7910813696,6855032832,773959680,6697443328,13.3,113610752,630296576,18350080,421060608,3678208,187412480
7910813696,6855032832,773959680,6697443328,13.3,113610752,630296576,18358272,421052416,3678208,187412480
7910813696,6855032832,773959680,6697443328,13.3,113610752,630296576,18358272,421052416,3678208,187666432
7910813696,6855032832,773947392,6697443328,13.3,113610752,630296576,18358272,421064704,3678208,187863040
7910813696,6855032832,773947392,6697443328,13.3,113610752,630296576,18358272,421064704,3678208,187731968
7910813696,6855032832,773947392,6697443328,13.3,113610752,630296576,18358272,421064704,3678208,187731968
